event_id,event_name , type,category,start_date,end_date,start_time,end_time,average_rating,total_ratings,area,governorate,latitude,longitude,google_maps_link,Price_EGY,Price_Foreigners
1,Mohamed Hamaki,Summer Concert,Concert,7/9/2025,7/9/2025,18:00,20:00,5,10635,Ain Sokhna,Suez,29.5926,32.3342,"https://www.google.com/maps?q=29.5926,32.3342",3350,7250
2,White Desert Safari Adventure,Festival,Desert,11/4/2025,11/7/2025,10:00,23:00,5,6351,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",2600,3000
3,Nubian Cultural Festival,Festival,Cultural,2/4/2025,2/8/2025,10:00,22:00,4.9,5138,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",4500,4750
4,Nubian Village Cultural Exchange,Celebration,Cultural,6/5/2025,6/6/2025,14:00,20:00,4.9,2805,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",100,2250
5,Coptic Christmas Celebration,Celebration,Coptic,1/9/2025,1/11/2025,9:00,19:00,4.9,5664,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",0,750
6,Red Sea Diving Championship,Competition,Marine,8/14/2025,8/18/2025,8:00,18:00,4.9,8935,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",2450,2000
7,Luxor Hot Air Balloon Festival,Festival,Archaeological,12/25/2025,12/27/2025,10:00,22:00,4.9,109,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",3050,2250
8,Minya Coptic Heritage Celebration,Celebration,Coptic,1/15/2025,1/19/2025,11:00,23:00,4.9,252,Minya,Minya,28.0871,30.7618,"https://www.google.com/maps?q=28.0871,30.7618",550,1250
9,Sinai Trail Hiking Festival,Festival,Safari,4/9/2025,4/13/2025,10:00,22:00,4.9,7554,North Sinai,North Sinai,30.9314,33.7979,"https://www.google.com/maps?q=30.9314,33.7979",4900,3000
10,White Monastery Pilgrimage,Celebration,Coptic,8/17/2025,8/19/2025,11:00,18:00,4.9,1227,Sohag,Sohag,26.5591,31.6956,"https://www.google.com/maps?q=26.5591,31.6956",0,1500
11,Cairo Nile Festival,Festival,Nile,9/21/2025,9/25/2025,10:00,23:00,4.8,2814,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",4950,5500
12,Coptic Cairo Pilgrimage,Celebration,Coptic,1/17/2025,1/19/2025,11:00,21:00,4.8,288,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",150,500
13,Pyramids Sound and Light Show,Performance,Archaeological,1/3/2025,1/2/2026,20:00,23:00,4.8,14346,Giza,Giza,30.0131,31.2089,"https://www.google.com/maps?q=30.0131,31.2089",3050,7250
14,Mansoura Cultural Week,Festival,Cultural,3/19/2025,3/25/2025,10:00,23:00,4.8,5305,Mansoura,Dakahlia,31.0364,31.3807,"https://www.google.com/maps?q=31.0364,31.3807",1650,2000
15,Marsa Alam Dolphin Watching Festival,Festival,Marine,6/15/2025,6/18/2025,10:00,22:00,4.8,987,Marsa Alam,Red Sea,25.0661,34.8903,"https://www.google.com/maps?q=25.0661,34.8903",4650,6000
16,Siwa Date Harvest Festival,Festival,Oasis,10/25/2025,10/29/2025,10:00,22:00,4.8,2824,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",4900,5250
17,Red Sea Desert Challenge,Competition,Desert,10/15/2025,10/19/2025,8:00,18:00,4.8,11626,Red Sea,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",3850,3250
18,Suez Maritime Museum Exhibition,Exhibition,Historical,6/3/2025,7/2/2025,9:00,20:00,4.8,1222,Suez City,Suez,29.9668,32.5498,"https://www.google.com/maps?q=29.9668,32.5498",1350,1750
19,Taba Heights Music Festival,Festival,Beach,6/11/2025,6/13/2025,10:00,23:00,4.8,12863,Taba,South Sinai,29.4973,34.898,"https://www.google.com/maps?q=29.4973,34.898",4550,5750
20,Cairo International Art Fair,Fair,Cultural,5/6/2025,5/10/2025,9:00,20:00,4.7,7016,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",700,1750
21,Red Sea Bedouin Cultural Festival,Festival,Cultural,4/22/2025,4/25/2025,10:00,22:00,4.7,5005,Red Sea,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",1350,4500
22,Taba Border Cultural Exchange,Festival,Cultural,5/15/2025,5/17/2025,10:00,22:00,4.7,9116,Taba,South Sinai,29.4973,34.898,"https://www.google.com/maps?q=29.4973,34.898",2500,2500
23,Cairo International Film Festival,Festival,Cultural,11/2/2025,11/11/2025,10:00,23:00,4.6,8935,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",2200,1750
24,Dahab Windsurfing Championship,Competition,Beach,8/12/2025,8/14/2025,12:00,19:00,4.6,900,Dahab,South Sinai,28.5096,34.5133,"https://www.google.com/maps?q=28.5096,34.5133",1500,1250
25,Great Pyramid Marathon,Competition,Archaeological,2/22/2025,2/22/2025,8:00,18:00,4.6,11269,Giza,Giza,30.0131,31.2089,"https://www.google.com/maps?q=30.0131,31.2089",2250,4500
26,Sphinx Cultural Evenings,Performance,Pharaonic,7/18/2025,7/22/2025,20:00,23:00,4.6,10601,Giza,Giza,30.0131,31.2089,"https://www.google.com/maps?q=30.0131,31.2089",2100,3250
27,Hurghada Beach Volleyball Cup,Competition,Beach,7/25/2025,7/28/2025,8:00,18:00,4.6,3395,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",3550,2000
28,Valley of the Kings Marathon,Competition,Archaeological,1/12/2025,1/12/2025,8:00,18:00,4.6,8937,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",3200,4500
29,Marsa Alam Sea Turtle Conservation Week,Celebration,Ecotourism,7/4/2025,7/10/2025,9:00,20:00,4.6,1890,Marsa Alam,Red Sea,25.0661,34.8903,"https://www.google.com/maps?q=25.0661,34.8903",800,250
